team,matches,wins,win_rate,avg_runs,avg_runs_conceded,avg_wickets_lost,avg_wickets_taken
Sunrisers Hyderabad,15,9,0.6,203.33333333333334,194.53333333333333,6.733333333333333,6.333333333333333
Royal Challengers Bengaluru,16,11,0.6875,191.0625,183.3125,5.25,6.6875
Kolkata Knight Riders,12,5,0.4166666666666667,177.41666666666666,185.75,5.666666666666667,6.416666666666667
Mumbai Indians,14,4,0.2857142857142857,182.35714285714286,188.28571428571428,6.428571428571429,5.357142857142857
Chennai Super Kings,14,6,0.42857142857142855,180.71428571428572,179.42857142857142,6.0,5.857142857142857
Rajasthan Royals,16,9,0.5625,192.25,191.5,6.1875,6.5625
Gujarat Titans,17,10,0.5882352941176471,182.0,180.1764705882353,5.352941176470588,7.235294117647059
Punjab Kings,13,7,0.5384615384615384,208.53846153846155,209.07692307692307,5.6923076923076925,5.0
Lucknow Super Giants,13,4,0.3076923076923077,181.23076923076923,189.30769230769232,6.538461538461538,4.923076923076923
Delhi Capitals,14,7,0.5,182.78571428571428,184.35714285714286,6.214285714285714,5.0
